input	target	source_rule	freq	edit_count	seed	freq_bucket
bancaryos	bancarios	historical	3.8e-06	1	42	4
chócarrear	chocarrear	ocr_confusion	0.0	1	42	0
cáderá	cadera	ocr_confusion	4.37e-06	2	42	4
artolas	artolas	identity	0.0	0	42	0
productions	productions	identity	9.33e-07	0	42	2
ádueción	aducción	ocr_confusion	0.0	2	42	1
líbcr	líber	ocr_confusion	0.0	1	42	1
albaneses	albaneses	identity	7.59e-07	0	42	2
irrifante	irritante	ocr_confusion	1.86e-06	1	42	3
ploméar	plomear	ocr_confusion	0.0	1	42	1
suéramos	fuéramos	ocr_confusion	4.07e-06	1	42	4
ailanto	ailanto	identity	0.0	0	42	0
enojada	enojada	identity	6.61e-06	0	42	4
nerbura	nervura	historical	0.0	1	42	0
llovjznara	lloviznara	historical	0.0	1	42	0
frimembre	trimembre	ocr_confusion	0.0	1	42	0
lubriçante	lubricante	historical	1.35e-06	1	42	3
extraórdiñaria	extraordinaria	ocr_confusion	1.23e-05	2	42	4
ymprovisar	improvisar	historical	1.7e-06	1	42	3
mígico	mítico	typo	3.55e-06	1	42	4
cibiles	civiles	historical	3.8e-05	1	42	4
alanceador	alanceador	identity	0.0	0	42	1
transoprtador	transportador	typo	1.12e-06	2	42	3
sufoeptibles	susceptibles	ocr_confusion	3.24e-06	2	42	4
fags	tags	ocr_confusion	1.15e-06	1	42	3
canalés	canales	ocr_confusion	3.55e-05	1	42	4
ganchos	ganchos	identity	1.55e-06	0	42	3
lloviznada	lloviznada	identity	0.0	0	42	1
plaqnetaria	planetaria	typo	1.12e-06	1	42	3
çircunfuso	circunfuso	historical	0.0	1	42	1
eútrofizar	eutrofizar	ocr_confusion	0.0	1	42	1
raquc	raque	ocr_confusion	0.0	1	42	0
entlñtado	entintado	ocr_confusion	0.0	2	42	0
suites	suites	identity	9.55e-07	0	42	3
sácüdidas	sacudidas	ocr_confusion	6.76e-07	2	42	2
lancetázo	lancetazo	ocr_confusion	0.0	1	42	1
terriso	terrizo	historical	0.0	1	42	1
straüss	strauss	ocr_confusion	2.09e-06	1	42	3
desagüador	desaguador	ocr_confusion	0.0	1	42	2
smóg	smog	ocr_confusion	6.92e-07	1	42	2
cceuta	ceuta	typo	3.98e-06	1	42	4
peñarañda	peñaranda	ocr_confusion	6.17e-07	1	42	2
helióstat	helióstato	typo	0.0	1	42	1
rsbalón	resbalón	typo	0.0	1	42	0
manufaofurados	manufacturados	ocr_confusion	6.46e-07	2	42	2
triptongar	triptongar	identity	0.0	0	42	0
yeñdo	yendo	ocr_confusion	2.63e-05	1	42	4
regionalismo	regionalismo	identity	6.46e-07	0	42	2
apiaradcro	apiaradero	ocr_confusion	0.0	1	42	0
subkevación	sublevación	typo	2.09e-06	1	42	3
historiefa	historieta	ocr_confusion	2.29e-06	1	42	3
consuymar	consumar	typo	0.0	1	42	1
subjétívismo	subjetivismo	ocr_confusion	0.0	2	42	0
xetinguió	extinguió	typo	6.03e-07	2	42	2
risálida	crisálida	typo	0.0	1	42	1
hoyín	hollín	historical	6.76e-07	2	42	2
alubión	aluvión	historical	1.38e-06	1	42	3
malaafa	malafa	typo	0.0	1	42	0
mezolarse	mezclarse	ocr_confusion	1.38e-06	1	42	3
autonómicos	autonómicos	identity	1.35e-06	0	42	3
latifundisfa	latifundista	ocr_confusion	0.0	1	42	1
cajcedo	caicedo	historical	1.15e-06	1	42	3
asoçian	asocian	historical	2.29e-06	1	42	3
pokemoñ	pokemon	ocr_confusion	3.24e-06	1	42	4
punlüálizó	puntualizó	ocr_confusion	6.31e-07	3	42	2
aliñazda	aliñada	typo	0.0	1	42	1
conjruos	conjuros	typo	6.31e-07	2	42	2
vasayo	vasallo	historical	1.32e-06	2	42	3
moñadelfos	monadelfos	ocr_confusion	0.0	1	42	1
apropiabie	apropiable	ocr_confusion	0.0	1	42	0
cancelacionés	cancelaciones	ocr_confusion	5.75e-07	1	42	2
chidxa	chida	typo	6.31e-07	1	42	2
sambvca	sambuca	historical	0.0	1	42	1
intenteemos	intentemos	typo	1.02e-06	1	42	3
fole	tole	ocr_confusion	0.0	1	42	1
chiche	chiche	identity	0.0	0	42	0
éngarnió	engarnio	ocr_confusion	0.0	2	42	1
inépto	inepto	ocr_confusion	1.7e-06	1	42	3
agosla	agosta	ocr_confusion	0.0	1	42	1
pretérirá	preterirá	ocr_confusion	0.0	1	42	1
anhela	anhela	identity	1.2e-06	0	42	3
eprigonio	perigonio	typo	0.0	2	42	1
atpntamiento	atontamiento	typo	0.0	1	42	2
provérbládor	proverbiador	ocr_confusion	0.0	3	42	1
peligrosso	peligroso	typo	2.95e-05	1	42	4
ensücian	ensucian	ocr_confusion	6.46e-07	1	42	2
ametga	amelga	ocr_confusion	0.0	1	42	1
buok	buck	ocr_confusion	1.35e-06	1	42	3
magñificar	magnificar	ocr_confusion	0.0	1	42	0
pangermanista	pangermanista	identity	0.0	0	42	2
pueftos	puestos	ocr_confusion	4.9e-05	1	42	4
aumenfen	aumenten	ocr_confusion	1.86e-06	1	42	3
trapear	trapear	identity	0.0	0	42	0
górdos	gordos	ocr_confusion	4.79e-06	1	42	4
secúaccs	secuaces	ocr_confusion	2.19e-06	2	42	3
fng	feng	typo	2.63e-06	1	42	3
entrnada	entrenada	typo	8.32e-07	1	42	2
püeblos	pueblos	ocr_confusion	7.94e-05	1	42	4
empecimieñto	empecimiento	ocr_confusion	0.0	1	42	1
chuizo	chuzo	typo	0.0	1	42	0
goncaga	gonzaga	historical	6.92e-07	1	42	2
ménorefe	menorete	ocr_confusion	0.0	2	42	1
cuchüohear	cuchuchear	ocr_confusion	0.0	2	42	1
desmayo	desmayo	identity	1.74e-06	0	42	3
funañtear	tunantear	ocr_confusion	0.0	2	42	0
ruego	ruego	identity	7.41e-06	0	42	4
saltarsc	saltarse	ocr_confusion	1.35e-06	1	42	3
mleindre	melindre	typo	0.0	2	42	0
alewgre	alegre	typo	1.82e-05	1	42	4
oomentario	comentario	ocr_confusion	6.03e-05	1	42	4
realizasrán	realizarán	typo	2.57e-06	1	42	3
máximm	máximum	typo	0.0	1	42	1
empanddillar	empandillar	typo	0.0	1	42	1
emgojar	embojar	typo	0.0	1	42	0
vigota	vigota	identity	0.0	0	42	0
contrasegruo	contraseguro	typo	0.0	2	42	0
áproveche	aproveche	ocr_confusion	2.95e-06	1	42	4
agudameñte	agudamente	ocr_confusion	0.0	1	42	0
comunicabiíldad	comunicabilidad	ocr_confusion	0.0	2	42	1
apstecía	apetecía	typo	8.32e-07	1	42	2
sfen	shen	historical	1.1e-06	1	42	3
vendedorá	vendedora	ocr_confusion	1.74e-06	1	42	3
táílaba	fallaba	ocr_confusion	6.46e-07	3	42	2
cntras	entras	ocr_confusion	6.46e-06	1	42	4
cjercitar	ejercitar	ocr_confusion	2.4e-06	1	42	3
boccera	bocera	typo	0.0	1	42	1
intundir	infundir	ocr_confusion	9.12e-07	1	42	2
despalnar	desplanar	typo	0.0	2	42	0
aquitamiento	aquietamiento	typo	0.0	1	42	1
intencuones	intenciones	typo	1.95e-05	1	42	4
perfldia	perfidia	ocr_confusion	0.0	1	42	0
cetebrará	celebrara	ocr_confusion	5.75e-07	2	42	2
ofnda	ofenda	typo	1.23e-06	1	42	3
prolectriz	protectriz	ocr_confusion	0.0	1	42	0
adventüres	adventures	ocr_confusion	6.92e-07	1	42	2
haiuro	haluro	ocr_confusion	0.0	1	42	2
afloxar	aflojar	historical	1.17e-06	1	42	3
laedal	lamedal	typo	0.0	1	42	0
socaliñar	socaliñar	identity	0.0	0	42	0
sallnás	salinas	ocr_confusion	1.02e-05	2	42	4
rycohombre	ricohombre	historical	0.0	1	42	1
pconada	peonada	ocr_confusion	0.0	1	42	0
rocosof	rocosos	ocr_confusion	5.62e-07	1	42	2
falll	fall	typo	1.66e-06	1	42	3
frasfundir	trasfundir	ocr_confusion	0.0	1	42	1
sufrieron	sufrieron	identity	6.76e-06	0	42	4
télccom	telecom	ocr_confusion	1.82e-06	2	42	3
atóllar	atollar	ocr_confusion	0.0	1	42	1
pecorcar	pecorear	ocr_confusion	0.0	1	42	1
moziya	mozilla	historical	1.26e-06	2	42	3
zümacar	zumacar	ocr_confusion	0.0	1	42	1
gaieano	galeano	ocr_confusion	2.4e-06	1	42	3
ibación	libación	typo	0.0	1	42	0
faznny	fanny	typo	2.04e-06	1	42	3
hactitivo	factitivo	historical	0.0	1	42	1
perloñgar	perlongar	ocr_confusion	0.0	1	42	0
calvcz	calvez	ocr_confusion	0.0	1	42	2
omifen	omiten	ocr_confusion	5.75e-07	1	42	2
lravel	travel	ocr_confusion	2.24e-06	1	42	3
elmiinada	eliminada	typo	3.09e-06	2	42	4
emitan	emitan	identity	7.76e-07	0	42	2
fumme	fume	typo	1.1e-06	1	42	3
radiatne	radiante	typo	3.24e-06	2	42	4
minimazlista	minimalista	typo	9.33e-07	1	42	2
reuersible	reversible	historical	1.05e-06	1	42	3
detalládos	detallados	ocr_confusion	2.04e-06	1	42	3
pereyraa	pereyra	typo	1.78e-06	1	42	3
habnremos	habremos	typo	3.09e-06	1	42	4
jérusalén	jerusalén	ocr_confusion	9.33e-06	1	42	4
mcsero	mesero	ocr_confusion	1.7e-06	1	42	3
móras	moras	ocr_confusion	1.26e-06	1	42	3
aícañzado	alcanzado	ocr_confusion	1.55e-05	2	42	4
relfeje	refleje	typo	1.2e-06	2	42	3
densós	densos	ocr_confusion	1.32e-06	1	42	3
lrópeoicntos	tropecientos	ocr_confusion	0.0	4	42	1
sábia	sabia	ocr_confusion	2.19e-05	1	42	4
fedor	hedor	historical	1.2e-06	1	42	3
banansra	bananera	typo	9.77e-07	1	42	3
solista	solista	identity	3.39e-06	0	42	4
despeñdcr	despender	ocr_confusion	0.0	2	42	1
érecto	erecto	ocr_confusion	8.13e-07	1	42	2
séndcruela	senderuela	ocr_confusion	0.0	2	42	0
rignete	rigente	typo	0.0	2	42	1
magnífiços	magníficos	historical	2.4e-06	1	42	3
sevng	seung	historical	7.08e-07	1	42	2
tommare	tomare	typo	7.94e-07	1	42	2
dueo	duero	typo	2.45e-06	1	42	3
enmudecímlento	enmudecimiento	ocr_confusion	0.0	2	42	0
carencia	carencia	identity	5.5e-06	0	42	4
mysmidad	mismidad	historical	0.0	1	42	0
achaparrar	achaparrar	identity	0.0	0	42	2
anailzo	analizo	typo	6.31e-07	2	42	2
maqujnación	maquinación	historical	0.0	1	42	0
adguiere	adquiere	historical	7.41e-06	1	42	4
amaranfáceó	amarantáceo	ocr_confusion	0.0	2	42	0
obsçurecimiento	obscurecimiento	historical	0.0	1	42	0
sinagoa	sinagoga	typo	1.95e-06	1	42	3
remí	remi	ocr_confusion	5.62e-07	1	42	2
pcdantería	pedantería	ocr_confusion	0.0	1	42	1
ñeuro	neuro	ocr_confusion	6.03e-07	1	42	2
excesos	excesos	identity	4.27e-06	0	42	4
entróñcar	entroncar	ocr_confusion	0.0	2	42	0
aeroslero	aerostero	ocr_confusion	0.0	1	42	1
comymos	comimos	historical	2.14e-06	1	42	3
ánünciaron	anunciaron	ocr_confusion	5.62e-06	2	42	4
polante	plante	typo	6.03e-07	1	42	2
acampanaod	acampanado	typo	0.0	2	42	1
frustrantfe	frustrante	typo	2.95e-06	1	42	4
receso	receso	identity	2.75e-06	0	42	3
reformat	reformar	typo	5.89e-06	1	42	4
ersace	versace	typo	5.62e-07	1	42	2
áboclnar	abocinar	ocr_confusion	0.0	2	42	1
firmen	firmen	identity	1.35e-06	0	42	3
espartañ	espartal	typo	0.0	1	42	0
leonessa	leonesa	typo	8.71e-07	1	42	2
segadorr	segador	typo	0.0	1	42	1
édmund	edmund	ocr_confusion	1.7e-06	1	42	3
gobierña	gobierna	ocr_confusion	6.92e-06	1	42	4
aoaecerían	acaecerían	ocr_confusion	0.0	1	42	0
psopalatal	pospalatal	typo	0.0	2	42	0
aplanadera	aplanadera	identity	0.0	0	42	1
sills	silos	typo	1.32e-06	1	42	3
ñago	pago	typo	8.32e-05	1	42	4
conseriería	conserjería	historical	0.0	1	42	0
konstangin	konstantin	typo	5.75e-07	1	42	2
muscariá	muscaria	ocr_confusion	0.0	1	42	2
manteñída	mantenida	ocr_confusion	2.4e-06	2	42	3
vagar	vagar	identity	1.17e-06	0	42	3
optymismo	optimismo	historical	6.46e-06	1	42	4
vencimicntos	vencimientos	ocr_confusion	6.31e-07	1	42	2
vaçías	vacías	historical	6.92e-06	1	42	4
briosamente	briosamente	identity	0.0	0	42	1
evangékicos	evangélicos	typo	1.7e-06	1	42	3
tfaducen	traducen	typo	1.95e-06	1	42	3
aldchugado	alechugado	typo	0.0	1	42	0
beisbolista	beisbolista	identity	0.0	0	42	2
repodrír	repodrir	ocr_confusion	0.0	1	42	0
pdacito	pedacito	typo	1.74e-06	1	42	3
sujetadeor	sujetador	typo	1.62e-06	1	42	3
hueevero	huevero	typo	0.0	1	42	1
taiwna	taiwan	typo	1.32e-06	2	42	3
afirmmativa	afirmativa	typo	1.02e-06	1	42	3
dcdicarse	dedicarse	ocr_confusion	6.31e-06	1	42	4
balotar	balotar	identity	0.0	0	42	1
defendernos	defendernos	identity	1.58e-06	0	42	3
abrazadéra	abrazadera	ocr_confusion	0.0	1	42	1
trágicás	trágicas	ocr_confusion	9.12e-07	1	42	2
deletreado	deletreador	typo	0.0	1	42	2
preventivaemnte	preventivamente	typo	0.0	2	42	1
dcias	decias	typo	6.31e-07	1	42	2
dormijoso	dormijoso	identity	0.0	0	42	0
cüestioñamiento	cuestionamiento	ocr_confusion	2e-06	2	42	3
pcrcha	percha	ocr_confusion	9.12e-07	1	42	2
pwlados	pelados	typo	8.32e-07	1	42	2
refrescof	refrescos	ocr_confusion	2.57e-06	1	42	3
eñeargó	encargó	ocr_confusion	6.17e-06	2	42	4
lagotcar	lagotear	ocr_confusion	0.0	1	42	1
húmeda	húmeda	identity	3.55e-06	0	42	4
çuarto	cuarto	historical	8.51e-05	1	42	4
clárifiear	clarificar	ocr_confusion	1.12e-06	2	42	3
dabá	daba	ocr_confusion	4.07e-05	1	42	4
atabal	atabal	identity	0.0	0	42	0
hcrrar	herrar	ocr_confusion	0.0	1	42	1
invifo	invito	ocr_confusion	1.15e-05	1	42	4
lugartennencia	lugartenencia	typo	0.0	1	42	2
jerárquico	jerárquico	identity	1.32e-06	0	42	3
sarento	sargento	typo	8.51e-06	1	42	4
abottargar	abotargar	typo	0.0	1	42	0
traec	trace	typo	6.17e-07	2	42	2
alfana	alfana	identity	0.0	0	42	1
flañquear	flanquear	ocr_confusion	0.0	1	42	1
pavimeñto	pavimento	ocr_confusion	3.09e-06	1	42	4
eaúsficaménle	caústicamente	ocr_confusion	0.0	4	42	1
bacibeta	bacineta	typo	0.0	1	42	0
wagnerianó	wagneriano	ocr_confusion	0.0	1	42	0
feliciatdo	felicitado	typo	7.24e-07	2	42	2
vaien	valen	ocr_confusion	1.32e-05	1	42	4
ortafusil	portafusil	typo	0.0	1	42	0
deportiuidad	deportividad	historical	0.0	1	42	2
bifayo	bisayo	ocr_confusion	0.0	1	42	1
enmvdecer	enmudecer	historical	0.0	1	42	0
énseñó	enseñó	ocr_confusion	1.1e-05	1	42	4
swtar	star	typo	1.48e-05	1	42	4
epiifito	epifito	typo	0.0	1	42	1
acúdido	acudido	ocr_confusion	2.09e-06	1	42	3
bautizada	bautizada	identity	1.1e-06	0	42	3
añunciado	anunciado	ocr_confusion	1.32e-05	1	42	4
torar	torra	typo	8.71e-07	2	42	2
ballae	ballar	typo	0.0	1	42	2
extrapolablc	extrapolable	ocr_confusion	0.0	1	42	1
similltud	similitud	ocr_confusion	3.09e-06	1	42	4
svpeditar	supeditar	historical	0.0	1	42	1
taracos	atracos	typo	6.61e-07	2	42	2
laurcn	lauren	ocr_confusion	4.79e-06	1	42	4
hiscalizar	fiscalizar	historical	1.02e-06	1	42	3
ctiado	citado	typo	1.45e-05	2	42	4
subyaoe	subyace	ocr_confusion	1.1e-06	1	42	3
pjllador	pillador	historical	0.0	1	42	0
maohacar	machacar	ocr_confusion	6.92e-07	1	42	2
primario	primario	identity	6.76e-06	0	42	4
mendieta	mendieta	identity	8.32e-07	0	42	2
atadoss	atados	typo	2.4e-06	1	42	3
meñtalmenfe	mentalmente	ocr_confusion	5.37e-06	2	42	4
consümimiento	consumimiento	ocr_confusion	0.0	1	42	1
cachyto	cachito	historical	6.92e-07	1	42	2
reclamada	reclamada	identity	6.17e-07	0	42	2
edler	elder	typo	8.71e-07	2	42	2
áncestral	ancestral	ocr_confusion	3.55e-06	1	42	4
alimcntaba	alimentaba	ocr_confusion	8.32e-07	1	42	2
naclendo	naciendo	ocr_confusion	1.1e-06	1	42	3
basalméntc	basalmente	ocr_confusion	0.0	2	42	1
mojarrillla	mojarrilla	typo	0.0	1	42	0
coñcérníera	concerniera	ocr_confusion	0.0	3	42	1
orgánioamente	orgánicamente	ocr_confusion	0.0	1	42	0
çancelario	cancelario	historical	0.0	1	42	0
désempeñó	desempeño	ocr_confusion	1.7e-05	2	42	4
patlcrson	patterson	ocr_confusion	1.2e-06	2	42	3
éfta	ésta	ocr_confusion	7.24e-05	1	42	4
ansiosamenté	ansiosamente	ocr_confusion	6.92e-07	1	42	2
cre	cree	typo	0.000105	1	42	4
cacha	cacha	identity	7.08e-07	0	42	2
éntradtas	entradlas	ocr_confusion	0.0	2	42	0
lnvento	invento	ocr_confusion	7.94e-06	1	42	4
ppaís	país	typo	0.000603	1	42	4
turamiento	tiramiento	typo	0.0	1	42	0
anthaniel	nathaniel	typo	9.33e-07	2	42	2
casamieñtof	casamientos	ocr_confusion	5.89e-07	2	42	2
exígida	exigida	ocr_confusion	6.76e-07	1	42	2
extrasensoriá	extrasensoria	ocr_confusion	0.0	1	42	0
bermán	berman	ocr_confusion	6.76e-07	1	42	2
pareñtesco	parentesco	ocr_confusion	2.69e-06	1	42	3
pudicia	pudicia	identity	0.0	0	42	1
promeeto	prometo	typo	1.29e-05	1	42	4
mójoñar	mojonar	ocr_confusion	0.0	2	42	1
antelacióón	antelación	typo	2.63e-06	1	42	3
lórigadó	lorigado	ocr_confusion	0.0	2	42	1
desperté	desperté	identity	6.61e-06	0	42	4
ordenadameñte	ordenadamente	ocr_confusion	0.0	1	42	1
imedir	impedir	typo	1.78e-05	1	42	4
llános	llanos	ocr_confusion	4.37e-06	1	42	4
áfter	after	ocr_confusion	3.72e-06	1	42	4
declaradóf	declarados	ocr_confusion	4.47e-06	2	42	4
castingg	casting	typo	3.63e-06	1	42	4
azufrera	azufrera	identity	0.0	0	42	0
jabatí	jabalí	ocr_confusion	1.62e-06	1	42	3
jarrá	jarra	ocr_confusion	2e-06	1	42	3
ortjgal	ortigal	historical	0.0	1	42	1
eslrüjamíénto	estrujamiento	ocr_confusion	0.0	4	42	1
vigas	vigas	identity	2.63e-06	0	42	3
iuraría	juraría	historical	5.75e-07	1	42	2
dutll	duty	historical	1.66e-06	2	42	3
colorte	colorete	typo	0.0	1	42	0
soa	soba	typo	0.0	1	42	0
csoalonia	escalonia	ocr_confusion	0.0	2	42	0
cracovi	cracovia	typo	1.12e-06	1	42	3
reqúerido	requerido	ocr_confusion	5.37e-06	1	42	4
irelera	rielera	typo	0.0	2	42	1
escrüpuioso	escrupuloso	ocr_confusion	0.0	2	42	0
indígnante	indignante	ocr_confusion	2.75e-06	1	42	3
mcarro	macarro	typo	0.0	1	42	0
arrevoíver	arrevolver	ocr_confusion	0.0	1	42	1
cambnies	cambies	typo	3.02e-06	1	42	4
gpurmet	gourmet	typo	2.19e-06	1	42	3
aoertador	acertador	ocr_confusion	0.0	1	42	0
canizares	cañizares	historical	6.61e-07	1	42	2
éspúmajéar	espumajear	ocr_confusion	0.0	3	42	0
repáro	reparo	ocr_confusion	1.32e-06	1	42	3
ferri	ferry	historical	3.31e-06	1	42	4
ínoportuno	inoportuno	ocr_confusion	8.51e-07	1	42	2
dvra	dura	historical	5.01e-05	1	42	4
perfolal	perfolla	typo	0.0	2	42	1
ohúlada	chulada	ocr_confusion	0.0	2	42	1
perytonitis	peritonitis	historical	0.0	1	42	1
sidr	sidra	typo	1.86e-06	1	42	3
siñtonizar	sintonizar	ocr_confusion	7.94e-07	1	42	2
svperadas	superadas	historical	7.24e-07	1	42	2
atadnos	atadnos	identity	0.0	0	42	2
escaqramuzador	escaramuzador	typo	0.0	1	42	0
dándooslp	dándooslo	typo	0.0	1	42	0
vuelvá	vuelva	ocr_confusion	3.47e-05	1	42	4
numulytes	numulites	historical	0.0	1	42	1
partc	parte	ocr_confusion	0.001	1	42	4
robárnós	robarnos	ocr_confusion	7.76e-07	2	42	2
areñcar	arencar	ocr_confusion	0.0	1	42	1
crótico	erótico	ocr_confusion	2.57e-06	1	42	3
empezaría	empezaría	identity	1.74e-06	0	42	3
monkeey	monkey	typo	1.26e-06	1	42	3
cüriosos	curiosos	ocr_confusion	4.17e-06	1	42	4
nódlos	nódulos	typo	7.94e-07	1	42	2
hlecha	flecha	historical	6.92e-06	1	42	4
clairón	clarión	typo	0.0	2	42	0
medievalidad	medievalidad	identity	0.0	0	42	0
miñufvaiía	minusvalía	ocr_confusion	0.0	3	42	1
quejárse	quejarse	ocr_confusion	6.61e-06	1	42	4
qúejando	quejando	ocr_confusion	1.91e-06	1	42	3
iñdependizarse	independizarse	ocr_confusion	1.02e-06	1	42	3
budda	buda	typo	5.01e-06	1	42	4
ámaia	amaia	ocr_confusion	6.92e-07	1	42	2
incubaciónn	incubación	typo	1.17e-06	1	42	3
desteplar	destemplar	typo	0.0	1	42	0
orante	orante	identity	0.0	0	42	2
seseslabonar	deseslabonar	typo	0.0	1	42	0
atín	afín	ocr_confusion	2.4e-06	1	42	3
mdeioevo	medioevo	typo	5.5e-07	2	42	2
crcsa	cresa	ocr_confusion	0.0	1	42	2
cervezass	cervezas	typo	7.41e-06	1	42	4
crédencial	credencial	ocr_confusion	1.91e-06	1	42	3
antoñomasiá	antonomasia	ocr_confusion	5.62e-07	2	42	2
aromticas	aromáticas	typo	1.02e-06	1	42	3
lasfimen	lastimen	typo	8.32e-07	1	42	2
dcfinen	definen	ocr_confusion	7.24e-06	1	42	4
preponderate	preponderante	typo	1.12e-06	1	42	3
casposamente	casposamente	identity	0.0	0	42	0
qutural	gutural	historical	0.0	1	42	2
amzaonia	amazonia	typo	1.91e-06	2	42	3
involucionar	involucionar	identity	0.0	0	42	1
substantividad	substantividad	identity	0.0	0	42	1
reclular	reclutar	ocr_confusion	2.69e-06	1	42	3
hombrecito	hombrecito	identity	5.89e-07	0	42	2
infordmadas	informadas	typo	1.1e-06	1	42	3
mayorfombre	mayordombre	typo	0.0	1	42	1
dúty	duty	ocr_confusion	1.66e-06	1	42	3
resideñt	resident	ocr_confusion	1.48e-06	1	42	3
cánticcos	cánticos	typo	1.55e-06	1	42	3
quinona	quinina	typo	0.0	1	42	0
délitos	delitos	ocr_confusion	3.31e-05	1	42	4
qustarte	gustarte	historical	9.12e-07	1	42	2
vérdinoso	verdinoso	ocr_confusion	0.0	1	42	0
sllbando	silbando	ocr_confusion	5.5e-07	1	42	2
crocytar	crocitar	historical	0.0	1	42	1
remoción	remoción	identity	2.29e-06	0	42	3
adóptante	adoptante	ocr_confusion	0.0	1	42	0
denúncias	denuncias	ocr_confusion	1.7e-05	1	42	4
infentaba	intentaba	ocr_confusion	7.59e-06	1	42	4
exoorta	exporta	typo	2.09e-06	1	42	3
surgjdos	surgidos	historical	1.02e-06	1	42	3
moñüélo	monuelo	ocr_confusion	0.0	3	42	0
deeemir	decernir	ocr_confusion	0.0	3	42	2
esacribirte	escribirte	typo	6.61e-07	1	42	2
