input	target	source_rule	freq	edit_count	seed
nacymientos	nacimientos	historical	3.63e-06	1	42
pinaftro	pinastro	ocr_confusion	0.0	1	42
çontumacia	contumacia	historical	0.0	1	42
desflocar	desflocar	identity	0.0	0	42
veintena	veintena	identity	1.55e-06	0	42
mercat	mercal	ocr_confusion	0.0	1	42
latnano	lantano	typo	0.0	2	42
impotraría	importaría	typo	2.4e-06	2	42
proveió	proveyó	historical	6.76e-07	1	42
separeen	separen	typo	1e-06	1	42
candidafas	candidatas	typo	2.51e-06	1	42
escuadda	escuadra	typo	5.37e-06	1	42
calléjúela	callejuela	ocr_confusion	0.0	2	42
estampazdo	estampado	typo	1.23e-06	1	42
árraigados	arraigados	ocr_confusion	8.13e-07	1	42
blaw	blas	typo	5.62e-06	1	42
desçonocía	desconocía	historical	1.74e-06	1	42
ollannta	ollanta	typo	9.55e-07	1	42
logadeeo	logadero	typo	0.0	1	42
improvlsador	improvisador	ocr_confusion	0.0	1	42
myhrabs	mihrabs	historical	0.0	1	42
fabtár	fablar	ocr_confusion	0.0	2	42
solvcionario	solucionario	historical	0.0	1	42
dibujate	dibujante	typo	3.55e-06	1	42
fréd	fred	ocr_confusion	5.5e-06	1	42
dietétcia	dietética	typo	6.92e-07	2	42
defras	detras	ocr_confusion	4.9e-06	1	42
titieaca	titicaca	ocr_confusion	1.07e-06	1	42
eseapan	escapan	ocr_confusion	3.55e-06	1	42
benturero	venturero	historical	0.0	1	42
sayalerro	sayalero	typo	0.0	1	42
samraa	samara	typo	7.24e-07	2	42
únos	unos	ocr_confusion	0.000407	1	42
rodañdo	rodando	ocr_confusion	3.02e-06	1	42
pretirireeis	pretiriereis	typo	0.0	2	42
abólieses	abolieses	ocr_confusion	0.0	1	42
inteñsa	intensa	ocr_confusion	1.38e-05	1	42
lopteria	loteria	typo	8.71e-07	1	42
amagror	amargor	typo	0.0	2	42
detinada	destinada	typo	9.77e-06	1	42
cntremesar	entremesar	ocr_confusion	0.0	1	42
insegúridades	inseguridades	ocr_confusion	1.17e-06	1	42
enmenar	enmendar	typo	1.66e-06	1	42
palop	palo	typo	2.4e-05	1	42
botiero	botinero	typo	0.0	1	42
huéleños	huélenos	ocr_confusion	0.0	1	42
caoofonía	cacofonía	ocr_confusion	0.0	1	42
dompón	compón	typo	0.0	1	42
friángulos	triángulos	ocr_confusion	1.38e-06	1	42
defeosos	deseosos	ocr_confusion	1.1e-06	1	42
apresuramicnto	apresuramiento	ocr_confusion	0.0	1	42
brjstol	bristol	historical	1.41e-06	1	42
mutilaçión	mutilación	historical	1.26e-06	1	42
réúña	reúna	ocr_confusion	1.78e-06	2	42
pampañada	pampanada	ocr_confusion	0.0	1	42
contaminádor	contaminador	ocr_confusion	0.0	1	42
rudof	rudos	ocr_confusion	9.12e-07	1	42
dogmatyzador	dogmatizador	historical	0.0	1	42
reagvan	reagan	typo	3.24e-06	1	42
barrer	barrer	identity	1.95e-06	0	42
debiliutó	debilitó	typo	6.31e-07	1	42
aplazable	aplazable	identity	0.0	0	42
escandinbavo	escandinavo	typo	6.46e-07	1	42
conmemóración	conmemoración	ocr_confusion	5.62e-06	1	42
rcoadero	rocadero	typo	0.0	2	42
retrecheró	retrechero	ocr_confusion	0.0	1	42
redactando	redactando	identity	5.75e-07	0	42
loew	lowe	typo	8.51e-07	2	42
aarrecieres	arrecieres	typo	0.0	1	42
tneso	tenso	typo	2.88e-06	2	42
andañtc	andante	ocr_confusion	1.55e-06	2	42
piñtó	pintó	ocr_confusion	3.63e-06	1	42
coáulo	coágulo	typo	0.0	1	42
oampánela	campanela	ocr_confusion	0.0	2	42
contradique	contradique	identity	0.0	0	42
nailon	nailon	identity	0.0	0	42
hipoternusa	hipotenusa	typo	0.0	1	42
corpuscúlisla	corpusculista	ocr_confusion	0.0	2	42
húmor	humor	ocr_confusion	4.68e-05	1	42
pynchos	pinchos	historical	6.03e-07	1	42
unifieado	unificado	ocr_confusion	2.45e-06	1	42
rezxongar	rezongar	typo	0.0	1	42
jjji	jiji	historical	7.08e-07	1	42
neoalés	nepalés	typo	0.0	1	42
faaisana	faisana	typo	0.0	1	42
eompoñenda	componenda	ocr_confusion	0.0	2	42
monasterizl	monasterial	typo	0.0	1	42
entreleñimiento	entretenimiento	ocr_confusion	1.48e-05	2	42
análoo	análogo	typo	1.74e-06	1	42
gastne	gasten	typo	8.13e-07	2	42
primitibos	primitivos	historical	2.4e-06	1	42
lífera	lisera	ocr_confusion	0.0	2	42
rcvelandero	revelandero	ocr_confusion	0.0	1	42
bíoquímico	bioquímico	ocr_confusion	0.0	1	42
lvidaremos	olvidaremos	typo	1.66e-06	1	42
soils	souls	typo	1.05e-06	1	42
desplumaudra	desplumadura	typo	0.0	2	42
uiviría	viviría	historical	1.55e-06	1	42
derogaicón	derogación	typo	2.63e-06	2	42
urracá	urraca	ocr_confusion	9.33e-07	1	42
adcudó	adeudo	ocr_confusion	0.0	2	42
tereer	tercer	ocr_confusion	6.17e-05	1	42
mariotar	marlotar	ocr_confusion	0.0	1	42
especiaización	especialización	typo	5.5e-06	1	42
poseso	posesor	typo	0.0	1	42
apurador	apurador	identity	0.0	0	42
topadort	topador	typo	0.0	1	42
icebert	iceberg	typo	2e-06	1	42
invalidá	invalida	ocr_confusion	7.59e-07	1	42
doncorde	concorde	typo	0.0	1	42
emoleador	empleador	typo	4.79e-06	1	42
enlacyar	enlaciar	historical	0.0	1	42
imperiosamentee	imperiosamente	typo	0.0	1	42
samblqje	samblaje	typo	0.0	1	42
reflexjone	reflexione	historical	6.61e-07	1	42
luçidamente	lucidamente	historical	0.0	1	42
condicionn	condicion	typo	1.82e-06	1	42
msnudos	menudos	typo	1.2e-06	1	42
drvso	druso	historical	0.0	1	42
model	model	identity	2.04e-06	0	42
satlo	salto	typo	2.4e-05	2	42
abentador	aventador	historical	0.0	1	42
atgamasa	argamasa	typo	0.0	1	42
inframundl	inframundo	typo	1.26e-06	1	42
estreñimientto	estreñimiento	typo	8.71e-07	1	42
alegába	alegaba	ocr_confusion	5.89e-07	1	42
aterrorizádos	aterrorizados	ocr_confusion	6.17e-07	1	42
tertier	terrier	typo	6.46e-07	1	42
ençristalar	encristalar	historical	0.0	1	42
organjzadas	organizadas	historical	5.5e-06	1	42
iñdispensablemente	indispensablemente	ocr_confusion	0.0	1	42
zambullimijento	zambullimiento	typo	0.0	1	42
mastuerzo	nastuerzo	typo	0.0	1	42
uioletas	violetas	historical	1.23e-06	1	42
ápaehe	apache	ocr_confusion	2.82e-06	2	42
çapolar	capolar	historical	0.0	1	42
aguaçhinar	aguachinar	historical	0.0	1	42
ésplendor	esplendor	ocr_confusion	5.01e-06	1	42
bulliico	bullicio	typo	9.55e-07	2	42
rachet	rachel	ocr_confusion	5.13e-06	1	42
raramcñlé	raramente	ocr_confusion	4.47e-06	4	42
çamero	camero	historical	0.0	1	42
alçatel	alcatel	historical	6.17e-07	1	42
legendária	legendaria	ocr_confusion	2.57e-06	1	42
cabaíleta	caballeta	ocr_confusion	0.0	1	42
speriego	esperiego	typo	0.0	1	42
especulañdo	especulando	ocr_confusion	8.91e-07	1	42
herelano	herciano	ocr_confusion	0.0	2	42
esfantería	estantería	ocr_confusion	1.05e-06	1	42
haciéndóla	haciéndola	ocr_confusion	1.45e-06	1	42
enalbgar	enalbar	typo	0.0	1	42
manirse	manirse	identity	0.0	0	42
deljcada	delicada	historical	6.17e-06	1	42
ppesar	pesar	typo	0.000162	1	42
branoo	branco	ocr_confusion	9.77e-07	1	42
lograrná	lograrán	typo	1.05e-06	2	42
ocupó	ocupó	identity	7.76e-06	0	42
entrevjsta	entrevista	historical	6.76e-05	1	42
énastár	enastar	ocr_confusion	0.0	2	42
svout	scout	typo	2.19e-06	1	42
tomado	tomado	identity	4.47e-05	0	42
grammi	grammy	historical	2.09e-06	1	42
rcmitente	remitente	ocr_confusion	1.55e-06	1	42
mençionamos	mencionamos	historical	1.05e-06	1	42
estriclof	estrictos	ocr_confusion	2.45e-06	2	42
clasihicadas	clasificadas	historical	1.74e-06	1	42
escoryal	escorial	historical	1.86e-06	1	42
criminalizaclón	criminalización	ocr_confusion	8.91e-07	1	42
travleso	travieso	ocr_confusion	1.51e-06	1	42
podtó	portó	typo	7.41e-07	1	42
borrádores	borradores	ocr_confusion	1.62e-06	1	42
jnimaginable	inimaginable	historical	1.32e-06	1	42
precito	precinto	typo	0.0	1	42
estricñna	estricnina	historical	0.0	2	42
truenos	truenos	identity	1.78e-06	0	42
ocurrencias	ocurrencias	identity	1.55e-06	0	42
definrse	definirse	typo	1.82e-06	1	42
conr	cont	typo	1.38e-06	1	42
hloja	floja	historical	2.88e-06	1	42
enamoradon	enamoraron	typo	6.17e-07	1	42
moraizante	moralizante	typo	0.0	1	42
beaterlo	beaterio	ocr_confusion	0.0	1	42
garyg	gary	typo	6.76e-06	1	42
patrüllaje	patrullaje	ocr_confusion	8.51e-07	1	42
baoilar	bacilar	ocr_confusion	0.0	1	42
rugosídad	rugosidad	ocr_confusion	0.0	1	42
ostars	ostras	typo	1.45e-06	2	42
fécoya	secoya	ocr_confusion	0.0	2	42
çorso	corso	historical	1.74e-06	1	42
grulláda	grullada	ocr_confusion	0.0	1	42
echadlé	echadle	ocr_confusion	0.0	1	42
ausfríacá	austríaca	ocr_confusion	6.17e-07	2	42
cachemir	cachemir	identity	0.0	0	42
substantividad	substantividad	identity	0.0	0	42
magnúm	magnum	ocr_confusion	1.07e-06	1	42
amlió	amplió	typo	2.34e-06	1	42
guerrilma	guerrilla	typo	7.08e-06	1	42
poslliminio	postliminio	ocr_confusion	0.0	1	42
yácusi	yacusi	ocr_confusion	0.0	1	42
aslicción	aflicción	ocr_confusion	1.17e-06	1	42
mygraciones	migraciones	historical	4.47e-06	1	42
moradoref	moradores	ocr_confusion	1.35e-06	1	42
dcfinan	definan	ocr_confusion	6.76e-07	1	42
obrero	obrero	identity	1.26e-05	0	42
coladera	coladera	identity	0.0	0	42
atraeen	atraen	typo	3.31e-06	1	42
rjeuela	rejuela	typo	0.0	2	42
walkinb	walking	typo	2.57e-06	1	42
atocfa	atocha	historical	1.58e-06	1	42
éxpectación	expectación	ocr_confusion	1.45e-06	1	42
cifuenets	cifuentes	typo	2.82e-06	2	42
pozle	pozole	typo	7.94e-07	1	42
eineastas	cineastas	ocr_confusion	2.09e-06	1	42
maeedoñio	macedonio	ocr_confusion	1.48e-06	2	42
operarió	operario	ocr_confusion	1.29e-06	1	42
reíigíoso	religioso	ocr_confusion	2.45e-05	2	42
severaméñte	severamente	ocr_confusion	3.09e-06	2	42
cric	eric	ocr_confusion	1.2e-05	1	42
drásfico	drástico	ocr_confusion	1.32e-06	1	42
hijdalgo	hijadalgo	typo	0.0	1	42
gratianr	gratinar	typo	0.0	2	42
prolegernós	protegernos	ocr_confusion	1.26e-06	2	42
montlla	montilla	typo	1.23e-06	1	42
holliñicnto	holliniento	ocr_confusion	0.0	2	42
impurezas	impurezas	identity	1.07e-06	0	42
nascijmento	nascimento	typo	5.62e-07	1	42
beeriberi	beriberi	typo	0.0	1	42
minñe	minnie	historical	8.13e-07	2	42
seguidod	seguidos	typo	8.51e-06	1	42
hiñehamiento	hinchamiento	ocr_confusion	0.0	2	42
enguuizgar	enguizgar	typo	0.0	1	42
émbudador	embudador	ocr_confusion	0.0	1	42
emburrjar	emburriar	historical	0.0	1	42
cardiólogoo	cardiólogo	typo	0.0	1	42
recoomendó	recomendó	typo	5.13e-06	1	42
magniticacióñ	magnificación	ocr_confusion	0.0	2	42
vanagloryoso	vanaglorioso	historical	0.0	1	42
anarquisar	anarquizar	typo	0.0	1	42
musfío	mustio	ocr_confusion	0.0	2	42
aldellín	faldellín	typo	0.0	1	42
liggas	ligas	typo	6.46e-06	1	42
gratülatorio	gratulatorio	ocr_confusion	0.0	1	42
flaquear	flaquear	identity	0.0	0	42
pepsina	pepsina	identity	0.0	0	42
bódegas	bodegas	ocr_confusion	3.72e-06	1	42
eñaña	enana	ocr_confusion	2.19e-06	2	42
fieis	fieis	identity	0.0	0	42
soiange	solange	ocr_confusion	6.61e-07	1	42
prótomo	prótomo	identity	0.0	0	42
innfaltable	infaltable	typo	0.0	1	42
iñooentemenfe	inocentemente	ocr_confusion	0.0	3	42
pagarme	pagarme	identity	1.05e-06	0	42
afcefa	asceta	ocr_confusion	0.0	2	42
pñasearse	pasearse	typo	5.62e-07	1	42
deseññar	deseñar	typo	0.0	1	42
jimenez	jimenez	identity	1.82e-06	0	42
aíbarca	albarca	ocr_confusion	0.0	1	42
cruénlo	cruento	ocr_confusion	0.0	2	42
estendijarse	estendijarse	identity	0.0	0	42
champaña	champaña	identity	1.58e-06	0	42
quicr	quier	ocr_confusion	1.38e-06	1	42
microinformáático	microinformático	typo	0.0	1	42
fançy	fancy	historical	6.46e-07	1	42
granizar	granizar	identity	0.0	0	42
dicfosa	dichosa	historical	1.07e-06	1	42
somnífcro	somnífero	ocr_confusion	0.0	1	42
dsencadenar	desencadenar	typo	1.55e-06	1	42
caláda	calada	ocr_confusion	6.46e-07	1	42
abdioación	abdicación	ocr_confusion	9.55e-07	1	42
ansyar	ansiar	historical	0.0	1	42
gujndal	guindal	historical	0.0	1	42
varíablé	variable	ocr_confusion	1.26e-05	2	42
zangarrer	zangarrear	typo	0.0	1	42
deslicar	deslizar	historical	6.03e-07	1	42
practicada	practicada	identity	1.23e-06	0	42
thedresa	theresa	typo	9.33e-07	1	42
prefendcn	pretenden	ocr_confusion	1.1e-05	2	42
garnollers	granollers	typo	0.0	2	42
afes	ases	ocr_confusion	1.38e-06	1	42
baboa	babosa	typo	7.08e-07	1	42
herñandez	hernandez	ocr_confusion	2.57e-06	1	42
voluntariado	voluntariado	identity	3.16e-06	0	42
escoñda	esconda	ocr_confusion	6.61e-07	1	42
ignoradaz	ignoradas	typo	7.94e-07	1	42
mádrástra	madrastra	ocr_confusion	1.86e-06	2	42
rehhervir	rehervir	typo	0.0	1	42
apróbó	aprobó	ocr_confusion	1.66e-05	1	42
empeicesen	empeciesen	typo	0.0	2	42
chioas	chicas	ocr_confusion	7.94e-05	1	42
almizclé	almizcle	ocr_confusion	0.0	1	42
chilenaf	chilenas	ocr_confusion	3.8e-06	1	42
patrrocinar	patrocinar	typo	7.41e-07	1	42
aumentó	aumentó	identity	1.26e-05	0	42
juxtillo	justillo	typo	0.0	1	42
sostenjga	sostenga	typo	1.12e-06	1	42
etímología	etimología	ocr_confusion	2.14e-06	1	42
ajxa	ajax	typo	1.26e-06	2	42
ateroscterosis	aterosclerosis	ocr_confusion	0.0	1	42
valdivia	valdivia	identity	5.13e-06	0	42
jautp	jauto	typo	0.0	1	42
vjuda	viuda	historical	1.17e-05	1	42
nikli	niki	typo	6.61e-07	1	42
bnandos	bandos	typo	6.92e-06	1	42
gordílto	gordillo	ocr_confusion	1.58e-06	2	42
canaña	canana	ocr_confusion	0.0	1	42
ehco	echo	typo	2.09e-05	2	42
coolrimos	colorimos	typo	0.0	2	42
eçhadera	echadera	historical	0.0	1	42
dseempapelar	desempapelar	typo	0.0	2	42
informamos	informamos	identity	2.34e-06	0	42
esoábiosa	escabiosa	ocr_confusion	0.0	2	42
hipnat	hipnal	ocr_confusion	0.0	1	42
baba	baba	identity	4.07e-06	0	42
dominánles	dominantes	ocr_confusion	3.8e-06	2	42
rcñloso	rentoso	ocr_confusion	0.0	3	42
expedlcióñ	expedición	ocr_confusion	1.35e-05	2	42
fuereys	fuereis	historical	0.0	1	42
semirrefiñado	semirrefinado	ocr_confusion	0.0	1	42
désnatar	desnatar	ocr_confusion	0.0	1	42
anfiautoritario	antiautoritario	ocr_confusion	0.0	1	42
lórigadó	lorigado	ocr_confusion	0.0	2	42
comidillla	comidilla	typo	0.0	1	42
exitoszmente	exitosamente	typo	2.4e-06	1	42
franciscanó	franciscano	ocr_confusion	1.62e-06	1	42
bariiloche	bariloche	typo	4.57e-06	1	42
tréjo	trejo	ocr_confusion	1.38e-06	1	42
coméndalorio	comendatorio	ocr_confusion	0.0	2	42
çartapacio	cartapacio	historical	0.0	1	42
resxtando	restando	typo	7.94e-07	1	42
comymos	comimos	historical	2.14e-06	1	42
preposicional	preposicional	identity	0.0	0	42
xviiii	xviii	typo	1.45e-05	1	42
vénidá	venida	ocr_confusion	2.4e-06	2	42
ignorén	ignoren	ocr_confusion	8.32e-07	1	42
flero	fulero	typo	0.0	1	42
expügnár	expugnar	ocr_confusion	0.0	2	42
powr	power	typo	8.91e-06	1	42
cmpradizar	empradizar	ocr_confusion	0.0	1	42
sumaba	sumaba	identity	8.71e-07	0	42
jvsello	jusello	historical	0.0	1	42
auténtico	auténtico	identity	1.26e-05	0	42
cisticedrcosis	cisticercosis	typo	0.0	1	42
xugaren	jugaren	historical	0.0	1	42
íozanía	lozanía	ocr_confusion	0.0	1	42
kingdom	kingdom	identity	1.29e-06	0	42
distihgue	distingue	typo	6.61e-06	1	42
folclore	folclore	identity	1.51e-06	0	42
nacydo	nacido	historical	3.39e-05	1	42
compungiremos	compungiremos	identity	0.0	0	42
enaños	enanos	ocr_confusion	3.24e-06	1	42
dócforamiento	doctoramiento	ocr_confusion	0.0	2	42
gañemos	ganemos	ocr_confusion	2.19e-06	1	42
persévéranfemente	perseverantemente	ocr_confusion	0.0	3	42
mediátioa	mediática	ocr_confusion	7.41e-06	1	42
asaumiera	asumiera	typo	9.33e-07	1	42
régando	regando	ocr_confusion	5.62e-07	1	42
rescao	rescato	typo	9.12e-07	1	42
faneea	faneca	ocr_confusion	0.0	1	42
transfvsible	transfusible	historical	0.0	1	42
rcfinádo	refinado	ocr_confusion	2.24e-06	2	42
entenderás	entenderás	identity	1.7e-06	0	42
efario	erario	typo	2.29e-06	1	42
engasfonar	engastonar	ocr_confusion	0.0	1	42
esparragdaor	esparragador	typo	0.0	2	42
suoeda	suceda	ocr_confusion	9.12e-06	1	42
tabaleaar	tabalear	typo	0.0	1	42
malfkrmaciones	malformaciones	typo	9.12e-07	1	42
supervisión	supervisión	identity	1.05e-05	0	42
machuclo	machuelo	ocr_confusion	0.0	1	42
gujaleguaychú	gualeguaychú	typo	8.91e-07	1	42
transporrtando	transportando	typo	1.1e-06	1	42
cambian	cambian	identity	1.7e-05	0	42
pesquero	pesquero	identity	2.19e-06	0	42
ensallo	ensayo	historical	2.4e-05	2	42
etápa	etapa	ocr_confusion	4.9e-05	1	42
palizadá	palizada	ocr_confusion	0.0	1	42
ávatar	avatar	ocr_confusion	5.37e-06	1	42
asasia	afasia	ocr_confusion	0.0	1	42
cachetear	cachetear	identity	0.0	0	42
causará	causará	identity	1.41e-06	0	42
malhümorado	malhumorado	ocr_confusion	0.0	1	42
plantazr	plantar	typo	4.79e-06	1	42
adenoydeo	adenoideo	historical	0.0	1	42
tábiet	tablet	ocr_confusion	4.9e-06	2	42
crífica	cerífica	typo	0.0	1	42
qüedeñ	queden	ocr_confusion	1.12e-05	2	42
sativa	sativa	identity	6.31e-07	0	42
proñteza	pronteza	ocr_confusion	0.0	1	42
crayg	craig	historical	4.07e-06	1	42
endorsar	endorsar	identity	0.0	0	42
bibliografía	bibliografía	identity	1.05e-05	0	42
hvrraco	hurraco	historical	0.0	1	42
quejiilloso	quejilloso	typo	0.0	1	42
torerá	torera	ocr_confusion	0.0	1	42
tellizaa	telliza	typo	0.0	1	42
cuenoo	cuenco	ocr_confusion	1.29e-06	1	42
obstsculizar	obstaculizar	typo	1.02e-06	1	42
vacüo	vacuo	ocr_confusion	0.0	1	42
aufa	aura	typo	3.55e-06	1	42
descolorirías	descoloriríais	typo	0.0	1	42
ilegalmentc	ilegalmente	ocr_confusion	5.01e-06	1	42
torso	toroso	typo	0.0	1	42
tanjs	tanks	typo	5.62e-07	1	42
eñoje	enoje	ocr_confusion	1.02e-06	1	42
eintos	cintos	ocr_confusion	0.0	1	42
enaciyar	enaciyar	identity	0.0	0	42
ramblizo	ramblizo	identity	0.0	0	42
ajuntzr	ajuntar	typo	0.0	1	42
lilaila	lilaila	identity	0.0	0	42
énróbinar	enrobinar	ocr_confusion	0.0	2	42
pasajcs	pasajes	ocr_confusion	9.12e-06	1	42
levzs	levas	typo	7.08e-07	1	42
climática	climática	identity	2.09e-06	0	42
vieren	vierten	typo	7.41e-07	1	42
briñdaba	brindaba	ocr_confusion	5.89e-07	1	42
golepando	golpeando	typo	3.72e-06	2	42
talsedad	falsedad	ocr_confusion	4.57e-06	1	42
fotolifo	fotolito	ocr_confusion	0.0	1	42
maduranod	madurando	typo	7.59e-07	2	42
alexia	alexia	identity	6.17e-07	0	42
pateh	patch	ocr_confusion	8.32e-07	1	42
desahogo	desahogo	identity	1.12e-06	0	42
aporbadas	aprobadas	typo	4.9e-06	2	42
ergvisteis	erguisteis	historical	0.0	1	42
remdiar	remudiar	typo	0.0	1	42
corbto	corbato	typo	0.0	1	42
cserofularlácea	escrofulariácea	ocr_confusion	0.0	3	42
circunflejo	circunflejo	identity	0.0	0	42
coloríría	coloriría	ocr_confusion	0.0	1	42
regetón	reguetón	typo	5.75e-07	1	42
desccar	defecar	ocr_confusion	0.0	2	42
asedár	asedar	ocr_confusion	0.0	1	42
fosado	rosado	typo	4.47e-06	1	42
añtispasto	antispasto	ocr_confusion	0.0	1	42
mezqüinos	mezquinos	ocr_confusion	6.92e-07	1	42
benture	venture	historical	6.61e-07	1	42
acecfador	acechador	historical	0.0	1	42
oclabore	colabore	typo	6.61e-07	2	42
gneis	gneis	identity	0.0	0	42
restablcer	restablecer	typo	4.47e-06	1	42
consceincia	consciencia	typo	4.9e-06	2	42
donads	donados	typo	1.32e-06	1	42
crecenn	crecen	typo	8.91e-06	1	42
estyma	estima	historical	1.78e-05	1	42
remenneo	remeneo	typo	0.0	1	42
visitar	visitar	identity	3.31e-05	0	42
medjcalización	medicalización	historical	0.0	1	42
pudrición	pudrición	identity	0.0	0	42
molletero	molletero	identity	0.0	0	42
praks	peaks	typo	6.92e-07	1	42
poteñciación	potenciación	ocr_confusion	5.89e-07	1	42
bóyer	boyer	ocr_confusion	5.62e-07	1	42
wlfe	wife	ocr_confusion	7.41e-07	1	42
arúspice	arúspice	identity	0.0	0	42
gradujando	graduando	typo	0.0	1	42
ocnfinar	confinar	typo	0.0	2	42
ajiaeo	ajiaco	ocr_confusion	0.0	1	42
conmfirmarlo	confirmarlo	typo	1.2e-06	1	42
competydores	competidores	historical	5.37e-06	1	42
hestejar	festejar	historical	4.37e-06	1	42
lurnar	turnar	ocr_confusion	0.0	1	42
bogel	vogel	historical	7.24e-07	1	42
donjuanismk	donjuanismo	typo	0.0	1	42
adns	dans	typo	2.57e-06	2	42
minordiad	minoridad	typo	0.0	2	42
chamiza	chamiza	identity	0.0	0	42
larbadorita	labradorita	typo	0.0	2	42
mementó	memento	ocr_confusion	0.0	1	42
sorrteador	sorteador	typo	0.0	1	42
pñonche	ponche	typo	6.46e-07	1	42
clubbes	clubes	typo	1.35e-05	1	42
gaqnadora	ganadora	typo	1.1e-05	1	42
úñicas	únicas	ocr_confusion	1.35e-05	1	42
dvidencia	evidencia	typo	4.57e-05	1	42
imapgable	impagable	typo	6.61e-07	2	42
bvenandanza	buenandanza	historical	0.0	1	42
eficienté	eficiente	ocr_confusion	1.51e-05	1	42
morhología	morfología	historical	1.91e-06	1	42
lomera	lomera	identity	0.0	0	42
combatietne	combatiente	typo	2.19e-06	2	42
iñsistido	insistido	ocr_confusion	2.04e-06	1	42
espectádores	espectadores	ocr_confusion	1.32e-05	1	42
pasántc	pasante	ocr_confusion	1.17e-06	2	42
eñeadenados	encadenados	ocr_confusion	8.32e-07	2	42
foplamocos	soplamocos	ocr_confusion	0.0	1	42
ata	cata	typo	2.45e-06	1	42
sampedarno	sampedrano	typo	0.0	2	42
obstantc	obstante	ocr_confusion	5.5e-05	1	42
hilatvra	hilatura	historical	0.0	1	42
sacjedad	saciedad	historical	1.26e-06	1	42
signihicaba	significaba	historical	7.59e-06	1	42
desconeertantementc	desconcertantemente	ocr_confusion	0.0	2	42
vaciamiento	vaciamiento	identity	6.31e-07	0	42
ropá	ropa	ocr_confusion	9.33e-05	1	42
entiñtado	entintado	ocr_confusion	0.0	1	42
fimplificación	simplificación	ocr_confusion	1.74e-06	1	42
bermelllón	bermellón	typo	0.0	1	42
dareemos	daremos	typo	5.62e-06	1	42
arévalo	arévalo	identity	1.86e-06	0	42
ajámonar	ajamonar	ocr_confusion	0.0	1	42
pvblicaba	publicaba	historical	2.29e-06	1	42
moqueat	moqueta	typo	0.0	2	42
litteral	literal	typo	1.2e-05	1	42
iauro	lauro	ocr_confusion	7.76e-07	1	42
henequén	henequén	identity	0.0	0	42
extensivamente	extensivamente	identity	0.0	0	42
añmación	animación	historical	1.05e-05	2	42
entradel	entradle	typo	0.0	2	42
vicetesoerro	vicetesorero	typo	0.0	2	42
carlitya	carlita	typo	0.0	1	42
fold	hold	historical	1.26e-06	1	42
inguiario	inguinario	typo	0.0	1	42
ligatcrna	ligaterna	ocr_confusion	0.0	1	42
crybador	cribador	historical	0.0	1	42
