Input	Target
"Debe pués hacersc tan büeno a sï
eí Maeslro quanfo quïerc qüe lo
seañ los Dgeïpülós, y en tòdas las
virtudes táñ exoeïentc, como dize
Santo Thòmas, io qúe en la ca5lïddad
Pïlagóras; el qual no soló coñ su 
dòelriná, y exémplo, ma5 con la
musica inc11nàva a 1à pureza a sus
oyéñtés."	"Debe pues hacerse tan bueno a si
el Maestro quanto quiere que lo
sean los Dicipulos, y en todas las
virtudes tan excelente, como dize
Santo Thomas, lo que en la castidad
Pitagoras; el qual no solo con su 
doctrina, y exemplo, mas con la
musica inclinava a la pureza a sus
oyentes."
"Bien conocio la importancia de esto en sv niñez Sa Malachias, pues no se pudo acavar con
el oyesse licion de un Maestro, a
quien avia vistoh azer algunas ac
ciones indecentes."	"Bien conocio la importancia de esto en su niñez Sa Malachias, pues no se pudo acabar con
el oyesse licion de un Maestro, a
quien avia visto hazer algunas ac
ciones indecentes."
"Segündo motivo, es la ovliga
o1on én que ieſ pónc la eonfianza
de loſ Padres a qüe deven ser àgradecidos para no qucdar cònvenci
dòf de ingratos, pues leſ encargan
lo qüe maſ amán, esfiman, y mas lef
imp0rta: y no es menòs lo que á ios
Padres les va en estó, qúe la cónservàeion de su fonor, estàdo, y vidà, pües fantàſ vezes se vce perder
lá por los desac1crtos de hijos mal
d1sciplinádos, y àun lodas iaſ frés
cosas júntaf."	"Segundo motivo, es la obliga
cion en que les pone la confianza
de los Padres a que deven ser agradecidos para no quedar convenci
dos de ingratos, pues les encargan
lo que mas aman, estiman, y mas les
importa: y no es menos lo que a los
Padres les va en esto, que la conservacion de su honor, estado, y vida, pues tantas vezes se vee perder
la por los desaciertos de hijos mal
disciplinados, y aun todas las tres
cosas juntas."
"Assi lo sintieron aquellos exce1entcs Principes, que con
tanto desuclo buascaron Maestros
de exemplo y doctrina para sus hi
jos, Antonïo Pio, al Filofòso Apolònio, que dio aï Emperador Marco Aurelio su niefo: ei Rey Pelco
de Thesàlia, al gra Fenïx para Ayo
de su hij0 Achiles: Dinisio Rey
de Siciiia, a Plalon: el Rey de Athc
nas pa;ra fu hijo eï vàleròso Aloiviades, à S0erates."	"Assi lo sintieron aquellos excelentes Principes, que con
tanto desuelo buascaron Maestros
de exemplo y doctrina para sus hi
jos, Antonio Pio, al Filosofo Apolonio, que dio al Emperador Marco Aurelio su nieto: el Rey Pelco
de Thesalia, al gra Fenix para Ayo
de su hijo Achiles: Dinisio Rey
de Sicilia, a Platon: el Rey de Athe
nas para su hijo el valeroso Alciviades, a Socrates."
"Nó menos deuen considerar là
parte que en este negocïo tiene la
eausa publica, tan interesada en la
buena cducaeion, parf1cularmcnte
de lós Nobles, cómo lo poñdero el 
Rey Añtogonó de Macdonia al 
Filosofo Zenoñ; y Platoñ, el quál
dlze, que los Reyes de Persla ponian en esto su mayor cúydado,. 
buſcándo los más insigñcs hombres en fu virtud, y letras pára maéstros de 1a xuvenlúd: y de los Romános rctiere Pomponio lo mismó."	"No menos deven considerar la
parte que en este negocio tiene la
causa publica, tan interesada en la
buena educacion, particularmente
de los Nobles, como lo pondero el 
Rey Antogono de Maedonia al 
Filosofo Zenon; y Platon, el qual
dize, que los Reyes de Persia ponian en esto su mayor cuydado, 
buscando los mas insignes hombres en su virtud, y letras para maestros de la juventud: y de los Romanos refiere Pomponio lo mismo."
"Pero nadié ños lo dïzc méjòr
que la coslosa experieñcïa de nuestra Espana eñ eſtà mátteríà."	"Pero nadie nos lo dize mejor
que la costosa experiencia de nuestra España en esta materia."
"Y sin 
duda, que si tanto cuidado se debe
poner en regir con acierto una  sola Republica, se debe m uy mayor 
al perficionar al que ha de regir 
muchas."	"Y sin 
duda, que si tanto cuidado se debe
poner en regir con acierto una sola Republica, se debe muy mayor 
al perficionar al que ha de regir 
muchas."
"Déven assi mismo adverfir, qua
de poco pr0veco es el que á otros
no aprovecha, y cl grañde aprccio 
que haze ía Sagrada Escritura de
los que enseñan, como se vee én 
Daniel; qué ésta en el magisterio
mucha parfe de las obras de mi5ericordlá; y cs dc gran meritò dar
limosna de tán rico tefor0 como
la virtud, y al quc no ïa quïere, sin
mirar sú falla dc reeonocïmiento, 
sino a lo que le conviene; la gloria que sc les hà de ſeguir de que
ſalgan virtúosos, y bién enseñad0s
los dicipuloſ, c0mo meñosprecio, y 
dolor de lo eontrario, porque la
estimacion que con todos se ganá
es mucha, àtribuyendo como lo5 
vicios, tambien lás vírtudes del dicipulo al qúe le enseño."	"Deven assi mismo advertir, qua
de poco provecho es el que a otros
no aprovecha, y el grande aprecio 
que haze la Sagrada Escritura de
los que enseñan, como se vee en 
Daniel; que esta en el magisterio
mucha parte de las obras de misericordia; y es de gran merito dar
limosna de tan rico tesoro como
la virtud, y al que no la quiere, sin
mirar su falta de reconocimiento, 
sino a lo que le conviene; la gloria que se les ha de seguir de que
salgan virtuosos, y bien enseñados
los dicipulos, como menosprecio, y 
dolor de lo contrario, porque la
estimacion que con todos se gana
es mucha, atribuyendo como los 
vicios, tambien las virtudes del dicipulo al que le enseño."
"Mostro es
to el Fylosofo Diogenes, que viendo hazer una travesura a un nino, 
sin dezirle nada a el se bolvio a renir a su Maestro."	"Mostro es
to el Filosofo Diogenes, que viendo hazer una travesura a un niño, 
sin dezirle nada a el se bolvio a reñir a su Maestro."
"Plutarzo, que lo
fue de Trajano, escriviedole la
enhorabuena del Imperio le dize:
Si fueres buen Empeerador, me llamare dichoso, y dare a Dios infinitas gracias, y si lo contrario hizieres sere de todos cargado sin culpa, como lo fue Seneca, por aver
criado al cruel Emperador neron, 
pues debe castigarse en el maestro
el vicio del dicipulo"	"Plutarco, que lo
fue de Trajano, escriviendole la
enhorabuena del Imperio le dize:
Si fueres buen Empeerador, me llamare dichoso, y dare a Dios infinitas gracias, y si lo contrario hizieres sere de todos cargado sin culpa, como lo fue Seneca, por aver
criado al cruel Emperador neron, 
pues debe castigarse en el maestro
el vicio del dicipulo."
"Dezia Thales Míles1o uno de lós ſiete Sabios, 
como l0 refiere Aulo Gelio, qüe
no queria òfro prcmiò de enseñar, 
ſino la gloria de 5aear ún búen dicipulo; y ésto cs hazer honra de la
empresa, sin lo qual nlnguna se yéga con pérféccion a cónseguir: que
alegrla le caúsa a un Arfifice, oyr
que todós aiaban sus obras (y mas
si son de ingeñio, y arté) al hortelano ver cárgado dé hcrmosisisma
fruta el arbol qúe cúítuvo, y él cam
po líen0 de mieſ al labràdor, como 
aí pastòr ver fecündas y con muy
luzidás criás sus ovejás; y quc cierrto es olvidár oon esfo todos los frabajos puestos en tales obras."	"Dezia Thales Milesio uno de los siete Sabios, 
como lo refiere Aulo Gelio, que
no queria otro premio de enseñar, 
sino la gloria de sacar un buen dicipulo; y esto es hazer honra de la
empresa, sin lo qual ninguna se llega con perfeccion a conseguir: que
alegria le causa a un Artifice, oyr
que todos alaban sus obras (y mas
si son de ingenio, y arte) al hortelano ver cargado de hermosisisma
fruta el arbol que cultuvo, y el cam
po lleno de mies al labrador, como 
al pastor ver fecundas y con muy
luzidas crias sus ovejas; y que cierto es olvidar con esto todos los trabajos puestos en tales obras."
"No deven pues ac0bardar a lo5
Maeſtro5 ios que han de reſuilarleſ de ia rcsisfenola, y naturales
fuertes, o inconflante5, .que en lof
nin0s ſueien 5er mas e1ertos (s1end0lo lanlo nucslra nafuraleza) porque iucgo olvidan io que apeteoieron, y a1 contrari0 ay naturales doc1le5 y dleiplinabics, otros rebeldc5, que no sc dexan labrar 0omo
alcunas maderas, piedraf y metalef; lengan paciencia, pues aunque 
les parezca sc mal iogran sus trabajo5, eon clia fe aloanza todo, y como diec Tritollvio, no ay trabajo
sin provecho, ni provccho sin cofta."	"No deven pues acobardar a los
Maestros los que han de resultarles de la resistencia, y naturales
fuertes, o inconstantes, que en los
niños suelen ser mas ciertos (siendolo tanto nuestra naturaleza) porque luego olvidan lo que apetecieron, y al contrario ay naturales dociles y diciplinables, otros rebeldes, que no se dexan labrar como
alcunas maderas, piedras y metales; tengan paciencia, pues aunque 
les parezca se mal logran sus trabajos, con ella se alcanza todo, y como dice Tritolivio, no ay trabajo
sin provecho, ni provecho sin costa."
"delLa doctrina y arte, cegún zintieron Quintiliano, y Ciceron auen
tajan a la naturaleza: al peso mayor la industria y artificio le mueven; y esta doma los Leones, y animales mas ferozes: el ingenio haze
servir al veneno mas mortifero de
remedio para la salud y vida: y del
Emperador Tiberio sabemos tenia
una serpiente por juguete: hasta a
los mudos y sordos ha hallado la
humana industria modo para enseñarlos a hablar, y escrivir."	"La doctrina y arte, según sintieron Quintiliano, y Ciceron aven
tajan a la naturaleza: al peso mayor la industria y artificio le mueven; y esta doma los Leones, y animales mas ferozes: el ingenio haze
servir al veneno mas mortifero de
remedio para la salud y vida: y del
Emperador Tiberio sabemos tenia
una serpiente por juguete: hasta a
los mudos y sordos ha hallado la
humana industria modo para enseñarlos a hablar, y escrivir."
"Tampozo lós in'timiden los exeplos de injratos dicipulos, pues si 
el Emperador Neron hizo dar in
justa muerte a su Maestro Seneca, 
y el apostata Iuliano al ayo Pigme
nio haziendole glorioso martir le
echo en el Rio Tiber; para cada
uno destos (a quien el mundo ha 
tenido por monstruos de fiereza, y
el infierno castigara eternamente)
ha avido infinitos, de que estan llenas las Historias, muy reconocidos
a tal beneficio."	"Tampoco los intimiden los exeplos de ingratos dicipulos, pues si 
el Emperador Neron hizo dar in
justa muerte a su Maestro Seneca, 
y el apostata Iuliano al ayo Pigme
nio haziendole glorioso martir le
echo en el Rio Tiber; para cada
uno destos (a quien el mundo ha 
tenido por monstruos de fiereza, y
el infierno castigara eternamente)
ha avido infinitos, de que estan llenas las Historias, muy reconocidos
a tal beneficio."
"El emporador Antonio Pio puso estatua puvlicà a su
ayo Fronton, y de este, y de los demas Maestros que tuvo ponia medallas de oro colgadas para adorno
de su aposento: io mifmo dize la
istoria dc su yerno Marco Antonio, el qual cada ano adòrnava los
sepu1cros de suſ Maestros difuntos
con muchas floreſ: tambien el Empcrador Augu5to Cesar fue exemplo de agradecidos dicipulos, por 
ias gràndes honras, y esstados que
dio a Antenodoro."	"El emporador Antonio Pio puso estatua publica a su
ayo Fronton, y de este, y de los demas Maestros que tuvo ponia medallas de oro colgadas para adorno
de su aposento: lo mismo dize la
historia de su yerno Marco Antonio, el qual cada año adornava los
sepulcros de sus Maestros difuntos
con muchas flores: tambien el Emperador Augusto Cesar fue exemplo de agradecidos dicipulos, por 
las grandes honras, y esstados que
dio a Antenodoro."
"Y quanto mas
trabajare él Ayo cn hazer virtüoso
á su dicipulo, lañto màs se ásegura
defte peligro, pües adonde ay virtud
jamàs se hallo ïngrat1tud: y como 
aquello se agradeoe, tambíen se irri
ta còntra é1 Maestro que tuvo, el
quc ſe halïa sugeto al vieio por
avérlle sid0 lolerado; esto sucedio
coñ Leònidaf su Ayo a Alexandro
Magno, que le enseño a bévcr vino, y av'iendo conocido uñ d1a estar embriagado, ie mando cchar a
t0s Lcones, diziénd0 era justo
füesse manjar dé brutos, el qúe
dio oausá de que ün hombre fuesse 
brulo."	"Y quanto mas
trabajare el Ayo en hazer virtuoso
a su dicipulo, tanto mas se asegura
deste peligro, pues adonde ay virtud
jamas se hallo ingratitud: y como 
aquello se agradece, tambien se irri
ta contra el Maestro que tuvo, el
que se halla sugeto al vicio por
averle sido tolerado; esto sucedio
con Leonidas su Ayo a Alexandro
Magno, que le enseño a bever vino, y aviendo conocido un dia estar embriagado, le mando echar a
los Leones, diziendo era justo
fuesse manjar de brutos, el que
dio causa de que un hombre fuesse 
bruto."
"Ni meñoſ los acobarde la difciúltad de penefrar el coràz0ñ humano, qüé aunqué cs tan sellado,
tiene el alma sus pulsos por dondc
se cònocc los afeot0s qué aila dentro predóminañ, como dizc San
Basilio, porqúe no es posible dexár de házer salidàs las pàssiones
enccrradás, o la gallardia y magnanimidad dei c0razon: estten púes 
alentos à la5 àcciones, y palàbras
descuydadas de los n1nòs, que eslas ïo mañifiestan quando ño ha lle
gado el arfïficio y málicia."	"Ni menos los acobarde la dificultad de penetrar el corazon humano, que aunque es tan sellado,
tiene el alma sus pulsos por donde
se conoce los afectos que alla dentro predominan, como dize San
Basilio, porque no es posible dexar de hazer salidas las passiones
encerradas, o la gallardia y magnanimidad del corazon: estén pues 
atentos a las acciones, y palabras
descuydadas de los niños, que estas lo manifiestan quando no ha lle
gado el artificio y malicia."
"El filo
sofo Chrisipo llamo a las palabras
arroyos del alma; y Demonacte
esoejo y re'trato."	"El filo
sofo Chrisipo llamo a las palabras
arroyos del alma; y Demonacte
espejo y retrato."
"Djx0 Sócratcs àl
otro mozo, hablá paraq úe te conozca."	"Dixo Socrates al
otro mozo, habla para que te conozca."
"Háziendotc cargò à Cípí0n 
siendò ñïñó, dé que ñ0 cònocia à
10ſ ñòbíe5 de R0ma ooñ qu1eñ trafàva, respóñdï0 severo: mas pr0óuró hàzcr mi ñombre cònoo1do de
lòf demaſ, que saber ilò los fuyos."	"Haziendole cargo a Cipion 
siendo niño, de que no conocia a
los nobles de Roma con quien tratava, respondio severo: mas procuro hazer mi nombre conocido de
los demas, que saber yo los suyos."
"Y no menos manifiesta esfo ia respuesta del valer0so mozo Don Iva
dc Austria, quan;do vivia sin saber
la dicha de ser hijo del Emperador
Carlos Quinto, que prejuntandole Luys Quixada, si sabla, tirar un
areabuz;, respondio, y aun eſperarle."	"Y no menos manifiesta esto la respuesta del valeroso mozo Don Iva
de Austria, quando vivia sin saber
la dicha de ser hijo del Emperador
Carlos Quinto, que preguntandole Luys Quixada, si sabia, tirar un
arcabuz, respondio, y aun esperarle."
"Pueſ aqucl Pcrlado y Santo Atha
nasio blen manït1est0 en to5 juegos
de su nineo lo quc abia dc fer, introduziendo en clïof las ceremonias de la Igïeſïa, oon tal gravedàd, 
que fueron dignaſ tat vez, de ser
apròbadas, y tcn1da5 p0r verat."	"Pues aquel Perlado y Santo Atha
nasio bien manifiesto en los juegos
de su niñez lo que avia de ser, introduziendo en ellos las ceremonias de la Iglesia, con tal gravedad, 
que fueron dignas tal vez, de ser
aprobadas, y tenidas por veras."
"El
Gran Tamorian, eomo dize Pedr0
Mexia, cmpezo a fingírlc Réy éñlre los ninos pastoréſ, y prosiquiendolo sàlio c0n lo qúe parecé esfava
tan lexos de poderse conseguir."	"El
Gran Tamorlan, como dize Pedro
Mexia, empezó a fingirle Rey entre los niños pastores, y prosiguiendolo salio con lo que parece estava
tan lexos de poderse conseguir."
"Confirma eſl0 aver conoeido San
Gregorio Nazianzeno al m0zuelo Iluiano, mirando sus ojos inquietof y mòfadoref, fus risas dlsolutàs, y paſos de5compucstos, de 
que fe lastimo diz1edo: 0 quan rgadc mal cria en este m0zo el Romano Imperio! El qual tan indignamente govemo despues que fue
tenido p0r la ma5 fiera y desenfrcnàda bestià en muchas edades visf"	"Confirma esto aver conocido San
Gregorio Nazianzeno al mozuelo Iuliano, mirando sus ojos inquietos y mofadores, sus risas disolutas, y pasos descompuestos, de 
que se lastimo diziedo: o quan grade mal cria en este mozo el Romano Imperio! El qual tan indignamente governo despues que fue
tenido por la mas fiera y desenfrenada bestia en muchas edades vista."
"Alienten la confianza en esta
empresa los Maeatros (qve della se
suele dezir vence impossibles) pidiendo a Dios las fuerzas, que a la
humana flaqueza faltan, :y empiecen a obrar con industria, tolerancia, y desuelo en los niños desde sus
primeros años, que assi lo aconseja
el Espiritu Santo, pues sin duda coservan siempre como el vaso el
olor del primer licor que recibe."	"Alienten la confianza en esta
empresa los Maestros (que della se
suele dezir vence impossibles) pidiendo a Dios las fuerzas, que a la
humana flaqueza faltan, y empiecen a obrar con industria, tolerancia, y desuelo en los niños desde sus
primeros años, que assi lo aconseja
el Espiritu Santo, pues sin duda coservan siempre como el vaso el
olor del primer licor que recibe."
"Esto lo manifiesta ía experienciá, y 
hasta eñ los animales se halla impossible la ensenanza siño se empieza desdé luego, affi lo sieñte
Píinio, y otros, que éscriúen de ſus
naturalezáſ; particuíarménte lós
pápágàyos y pioaza5 (dizedn) ñó
aprenden a hàblar si pas5an de dos, 
o lres anos."	"Esto lo manifiesta la experiencia, y 
hasta en los animales se halla impossible la enseñanza sino se empieza desde luego, assí lo siente
Plinio, y otros, que escriven de sus
naturalezas; particularmente los
papagayos y picazas (dizen) no
aprenden a hablar si passan de dos, 
o tres años."
"En la ternura :de là nlnez se enderezà facilmente estc arbolillo, que con mucha propicdad 
dize serlo cl hombre, mas repartanles la doctrina 5ejun la edad, que
aunque se la han de dar en qualquiera, pues para aprender virtud 
no fe ha de rcparar en esso, no fodo
es para lodas."	"En la ternura de la niñez se endereza facilmente este arbolillo, que con mucha propiedad 
dize serlo el hombre, mas repartanles la doctrina según la edad, que
aunque se la han de dar en qualquiera, pues para aprender virtud 
no se ha de reparar en esso, no todo
es para todas."
"L0cn li corrijan, que
coñ premiosh onrosos se aliénlan
íòs geñerosos animoso5, y San Pablo díze, qüe no se acóvarde a l0s
nlños porque sc crian fln val0r, si
no que con maña los encaminen á
la virtud."	"Loen y corrijan, que
con premios honrosos se alientan
los generosos animosos, y San Pablo dize, que no se acovarde a los
niños porque se crian sin valor, si
no que con maña los encaminen a
la virtud."
"Jamas les to1ercn falfa, que nó
ay niñguna quc devàn miràr co
m0 pe.quena de qjañtas desoubrie
réñ, pues l0s grandes iñccndios
empiézañ pòr pequenas brasas, y
los riós caudatosos, t1eneñ su origeñ de arroyúelos."	"Jamas les toleren falta, que no
ay ninguna que devan mirar co
mo pequeña de quantas descubrie
ren, pues los grandes incendios
empiezan por pequeñas brasas, y
los rios caudalosos, tienen su origen de arroyuelos."
"Sàñ Leóñ, y Ptutarcó, dixeroñ que erà ditioultoso, 
qüe el errar consént1do ño llegasfe ai extrem0 de1 mat."	"San Leon, y Plutarco, dixeron que era dificultoso, 
que el errar consentido no llegaste al extremo del mal."
"Aristoteles, 
Platon, y Socrates dizen, que no solo es dificil su reparo sino impossible: assi mostraron sentirlo aquellos Sabios Republicos de Athenas, quando condenaron a muerte 
en diferente ocasiones a dos niños, el primero por auer tomado 
una plancha de oro de la corona
que se avia caydo a su Diosa Diana; y el otro, porque saco los ojos 
a una coneja con un punzon jugando con ella, atendiendo a la naturaleza que descubrian."	"Aristoteles, 
Platon, y Socrates dizen, que no solo es dificil su reparo sino impossible: assi mostraron sentirlo aquellos Sabios Republicos de Athenas, quando condenaron a muerte 
en diferente ocasiones a dos niños, el primero por aver tomado 
una plancha de oro de la corona
que se avia caydo a su Diosa Diana; y el otro, porque saco los ojos 
a una coneja con un punzon jugando con ella, atendiendo a la naturaleza que descubrian."
"Más para apoyar eſta berdàd, solo basta aquella
tan sabida historia, y porlentofa
que ouenta San Grejorio en sus
dialagòf dél niño de cinco años, 
que por tcner coftumbre de blàsſemar, é5tandolo haziendó uñ dia
en los brazos de su padre,. sc le àrrebatáron lós demonios visiblemeñte, y llevaron en eucrpo y alma."	"Mas para apoyar esta verdad, solo basta aquella
tan sabida historia, y portentosa
que cuenta San Gregorio en sus
dialagos del niño de cinco años, 
que por tener costumbre de blasfemar, estandolo haziendo un dia
en los brazos de su padre, se le arrebataron los demonios visiblemente, y llevaron en cuerpo y alma."
"No hágan tos Maestros lo que
dixò cl Fllòsopho Carenades, que
lá causa de no aprender íos ilustres
y Principes ninios, érà no tratárlos
con la gravcdad que pide ci Magisterio, sino con àdulácioni y òstetaoión; como niof lo dio a enitender el Christianissimo Emperàdor
theodosïo, quando se enogo de hallar a sus hiios senladós tomando 
licion de Arsenio, quc se la dava
eni pie."	"No hagan los Maestros lo que
dixo el Filosopho Carenades, que
la causa de no aprender los ilustres
y Principes niños, era no tratarlos
con la gravedad que pide el Magisterio, sino con adulacion y ostetacion; como nos lo dio a entender el Christianissimo Emperador
theodosio, quando se enojo de hallar a sus hijos sentados tomando 
licion de Arsenio, que se la dava
en pie."
"Dixo bien otro Filosofo a
este proposito, ques olo aprendian
bien los señores a andar a caballo, 
porque los caballos no sabian lisonjas."	"Dixo bien otro Filosofo a
este proposito, que solo aprendian
bien los señores a andar a cavallo, 
porque los cavallos no sabian lisonjas."
"Obligveñlos lambien à huyr ia
ociósidad, y cóntinuár él trabago
mcdido con sus fuerzas, pues fe eñganan táñto los que dizen puéde
ser danof0 a la ſalüd, quc Gateno lo
Ordéña para vïvir cón dla; y sin dudà àl que assi se crià sé le haze eoñnatürál,  el que con regalo sieñte
déspues múcho m as lof lnexeu5ables."	"Obliguenlos tambien a huyr la
ociosidad, y continuar el trabajo
medido con sus fuerzas, pues se engañan tanto los que dizen puede
ser dañoso a la salud, que Galeno lo
Ordena para vivir con ella; y sin duda al que assi se cría se le haze connatural,  el que con regalo siente
despues mucho mas los inexcusables."
